ID,J1,J2,J3,J4,J5,J6,J7,Distance,X,Y,Z,Reachable,Yoshikawa
1,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.771755,6.145,4.4,0.06,0,0
2,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.812102,6.225,4.4,0.06,0,0
3,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.858029,6.305,4.4,0.06,0,0
4,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.90869,6.385,4.4,0.06,0,0
5,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.963339,6.465,4.4,0.06,0,0
6,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.778379,6.145,4.32,0.06,0,0
7,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.8184,6.225,4.32,0.06,0,0
8,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.863992,6.305,4.32,0.06,0,0
9,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.914323,6.385,4.32,0.06,0,0
10,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.968654,6.465,4.32,0.06,0,0
11,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.793059,6.145,4.24,0.06,0,0
12,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.832374,6.225,4.24,0.06,0,0
13,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.87724,6.305,4.24,0.06,0,0
14,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.926852,6.385,4.24,0.06,0,0
15,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.980489,6.465,4.24,0.06,0,0
16,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.815359,6.145,4.16,0.06,1,0.013414
17,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.853648,6.225,4.16,0.06,0,0
18,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.897451,6.305,4.16,0.06,0,0
19,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.946003,6.385,4.16,0.06,0,0
20,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.998612,6.465,4.16,0.06,0,0
21,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.844677,6.145,4.08,0.06,0,0
22,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.881693,6.225,4.08,0.06,0,0
23,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.924168,6.305,4.08,0.06,0,0
24,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.971386,6.385,4.08,0.06,0,0
25,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.02269,6.465,4.08,0.06,0,0
26,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.880311,6.145,4,0.06,1,0.0155366
27,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.915888,6.225,4,0.06,0,0
28,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.956846,6.305,4,0.06,0,0
29,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.00253,6.385,4,0.06,0,0
30,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.05231,6.465,4,0.06,0,0
31,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.921529,6.145,3.92,0.06,0,0
32,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.955573,6.225,3.92,0.06,0,0
33,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.994899,6.305,3.92,0.06,0,0
34,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.03891,6.385,3.92,0.06,0,0
35,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.08703,6.465,3.92,0.06,0,0
36,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.967618,6.145,3.84,0.06,0,0
37,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.00009,6.225,3.84,0.06,0,0
38,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.03773,6.305,3.84,0.06,0,0
39,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.08,6.385,3.84,0.06,0,0
40,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.12637,6.465,3.84,0.06,0,0
41,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.01792,6.145,3.76,0.06,0,0
42,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.04884,6.225,3.76,0.06,0,0
43,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.08479,6.305,3.76,0.06,0,0
44,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.12528,6.385,3.76,0.06,0,0
45,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.16986,6.465,3.76,0.06,0,0
46,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.07183,6.145,3.68,0.06,0,0
47,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.10124,6.225,3.68,0.06,0,0
48,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.13553,6.305,3.68,0.06,0,0
49,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.17428,6.385,3.68,0.06,0,0
50,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.21706,6.465,3.68,0.06,0,0
51,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.58226,6.145,4.4,1.2,0,0
52,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.634768,6.225,4.4,1.2,0,0
53,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.692556,6.305,4.4,1.2,0,0
54,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.754413,6.385,4.4,1.2,0,0
55,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.819416,6.465,4.4,1.2,0,0
56,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.591012,6.145,4.32,1.2,1,0.00445363
57,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.642805,6.225,4.32,1.2,0,0
58,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.69993,6.305,4.32,1.2,0,0
59,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.761188,6.385,4.32,1.2,0,0
60,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.825658,6.465,4.32,1.2,0,0
61,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.610216,6.145,4.24,1.2,1,0.0570578
62,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.660505,6.225,4.24,1.2,0,0
63,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.71622,6.305,4.24,1.2,0,0
64,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.776192,6.385,4.24,1.2,0,0
65,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.839511,6.465,4.24,1.2,0,0
66,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.63893,6.145,4.16,1.2,1,0.0238568
67,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.687121,6.225,4.16,1.2,0,0
68,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.740837,6.305,4.16,1.2,0,0
69,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.798964,6.385,4.16,1.2,0,0
70,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.860608,6.465,4.16,1.2,0,0
71,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.675944,6.145,4.08,1.2,1,0.0647924
72,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.721667,6.225,4.08,1.2,0,0
73,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.772986,6.305,4.08,1.2,0,0
74,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.828861,6.385,4.08,1.2,0,0
75,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.888434,6.465,4.08,1.2,0,0
76,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.719978,6.145,4,1.2,1,0.0374808
77,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.763067,6.225,4,1.2,0,0
78,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.811773,6.305,4,1.2,0,0
79,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.865147,6.385,4,1.2,0,0
80,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.922379,6.465,4,1.2,0,0
81,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.769829,6.145,3.92,1.2,1,0.0602779
82,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.810272,6.225,3.92,1.2,0,0
83,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.856297,6.305,3.92,1.2,0,0
84,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.907054,6.385,3.92,1.2,0,0
85,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.961796,6.465,3.92,1.2,0,0
86,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.824442,6.145,3.84,1.2,1,0.0283224
87,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.862327,6.225,3.84,1.2,0,0
88,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.905711,6.305,3.84,1.2,0,0
89,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.953843,6.385,3.84,1.2,0,0
90,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.00604,6.465,3.84,1.2,0,0
91,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.882934,6.145,3.76,1.2,0,0
92,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.91841,6.225,3.76,1.2,0,0
93,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,0.95926,6.305,3.76,1.2,0,0
94,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.00483,6.385,3.76,1.2,0,0
95,1.51944,-2.24584,-0.409691,-2.33646,-1.67945,-0.34067,0.0207471,1.05451,6.465,3.76,1.2,0,0
