Cell_ID,Shelf_ID,X,Y,Z
1,1,6.145,4.4,0.06
2,1,6.225,4.4,0.06
3,1,6.305,4.4,0.06
4,1,6.385,4.4,0.06
5,1,6.465,4.4,0.06
6,1,6.145,4.32,0.06
7,1,6.225,4.32,0.06
8,1,6.305,4.32,0.06
9,1,6.385,4.32,0.06
10,1,6.465,4.32,0.06
11,1,6.145,4.24,0.06
12,1,6.225,4.24,0.06
13,1,6.305,4.24,0.06
14,1,6.385,4.24,0.06
15,1,6.465,4.24,0.06
16,1,6.145,4.16,0.06
17,1,6.225,4.16,0.06
18,1,6.305,4.16,0.06
19,1,6.385,4.16,0.06
20,1,6.465,4.16,0.06
21,1,6.145,4.08,0.06
22,1,6.225,4.08,0.06
23,1,6.305,4.08,0.06
24,1,6.385,4.08,0.06
25,1,6.465,4.08,0.06
26,1,6.145,4.0,0.06
27,1,6.225,4.0,0.06
28,1,6.305,4.0,0.06
29,1,6.385,4.0,0.06
30,1,6.465,4.0,0.06
31,1,6.145,3.92,0.06
32,1,6.225,3.92,0.06
33,1,6.305,3.92,0.06
34,1,6.385,3.92,0.06
35,1,6.465,3.92,0.06
36,1,6.145,3.84,0.06
37,1,6.225,3.84,0.06
38,1,6.305,3.84,0.06
39,1,6.385,3.84,0.06
40,1,6.465,3.84,0.06
41,1,6.145,3.76,0.06
42,1,6.225,3.76,0.06
43,1,6.305,3.76,0.06
44,1,6.385,3.76,0.06
45,1,6.465,3.76,0.06
46,1,6.145,3.68,0.06
47,1,6.225,3.68,0.06
48,1,6.305,3.68,0.06
49,1,6.385,3.68,0.06
50,1,6.465,3.68,0.06
51,2,6.145,4.4,1.2
52,2,6.225,4.4,1.2
53,2,6.305,4.4,1.2
54,2,6.385,4.4,1.2
55,2,6.465,4.4,1.2
56,2,6.145,4.32,1.2
57,2,6.225,4.32,1.2
58,2,6.305,4.32,1.2
59,2,6.385,4.32,1.2
60,2,6.465,4.32,1.2
61,2,6.145,4.24,1.2
62,2,6.225,4.24,1.2
63,2,6.305,4.24,1.2
64,2,6.385,4.24,1.2
65,2,6.465,4.24,1.2
66,2,6.145,4.16,1.2
67,2,6.225,4.16,1.2
68,2,6.305,4.16,1.2
69,2,6.385,4.16,1.2
70,2,6.465,4.16,1.2
71,2,6.145,4.08,1.2
72,2,6.225,4.08,1.2
73,2,6.305,4.08,1.2
74,2,6.385,4.08,1.2
75,2,6.465,4.08,1.2
76,2,6.145,4.0,1.2
77,2,6.225,4.0,1.2
78,2,6.305,4.0,1.2
79,2,6.385,4.0,1.2
80,2,6.465,4.0,1.2
81,2,6.145,3.92,1.2
82,2,6.225,3.92,1.2
83,2,6.305,3.92,1.2
84,2,6.385,3.92,1.2
85,2,6.465,3.92,1.2
86,2,6.145,3.84,1.2
87,2,6.225,3.84,1.2
88,2,6.305,3.84,1.2
89,2,6.385,3.84,1.2
90,2,6.465,3.84,1.2
91,2,6.145,3.76,1.2
92,2,6.225,3.76,1.2
93,2,6.305,3.76,1.2
94,2,6.385,3.76,1.2
95,2,6.465,3.76,1.2
96,2,6.145,3.68,1.2
97,2,6.225,3.68,1.2
98,2,6.305,3.68,1.2
99,2,6.385,3.68,1.2
100,2,6.465,3.68,1.2
101,3,6.145,4.4,0.44
102,3,6.225,4.4,0.44
103,3,6.305,4.4,0.44
104,3,6.385,4.4,0.44
105,3,6.465,4.4,0.44
106,3,6.145,4.32,0.44
107,3,6.225,4.32,0.44
108,3,6.305,4.32,0.44
109,3,6.385,4.32,0.44
110,3,6.465,4.32,0.44
111,3,6.145,4.24,0.44
112,3,6.225,4.24,0.44
113,3,6.305,4.24,0.44
114,3,6.385,4.24,0.44
115,3,6.465,4.24,0.44
116,3,6.145,4.16,0.44
117,3,6.225,4.16,0.44
118,3,6.305,4.16,0.44
119,3,6.385,4.16,0.44
120,3,6.465,4.16,0.44
121,3,6.145,4.08,0.44
122,3,6.225,4.08,0.44
123,3,6.305,4.08,0.44
124,3,6.385,4.08,0.44
125,3,6.465,4.08,0.44
126,3,6.145,4.0,0.44
127,3,6.225,4.0,0.44
128,3,6.305,4.0,0.44
129,3,6.385,4.0,0.44
130,3,6.465,4.0,0.44
131,3,6.145,3.92,0.44
132,3,6.225,3.92,0.44
133,3,6.305,3.92,0.44
134,3,6.385,3.92,0.44
135,3,6.465,3.92,0.44
136,3,6.145,3.84,0.44
137,3,6.225,3.84,0.44
138,3,6.305,3.84,0.44
139,3,6.385,3.84,0.44
140,3,6.465,3.84,0.44
141,3,6.145,3.76,0.44
142,3,6.225,3.76,0.44
143,3,6.305,3.76,0.44
144,3,6.385,3.76,0.44
145,3,6.465,3.76,0.44
146,3,6.145,3.68,0.44
147,3,6.225,3.68,0.44
148,3,6.305,3.68,0.44
149,3,6.385,3.68,0.44
150,3,6.465,3.68,0.44
151,4,6.145,4.4,0.81
152,4,6.225,4.4,0.81
153,4,6.305,4.4,0.81
154,4,6.385,4.4,0.81
155,4,6.465,4.4,0.81
156,4,6.145,4.32,0.81
157,4,6.225,4.32,0.81
158,4,6.305,4.32,0.81
159,4,6.385,4.32,0.81
160,4,6.465,4.32,0.81
161,4,6.145,4.24,0.81
162,4,6.225,4.24,0.81
163,4,6.305,4.24,0.81
164,4,6.385,4.24,0.81
165,4,6.465,4.24,0.81
166,4,6.145,4.16,0.81
167,4,6.225,4.16,0.81
168,4,6.305,4.16,0.81
169,4,6.385,4.16,0.81
170,4,6.465,4.16,0.81
171,4,6.145,4.08,0.81
172,4,6.225,4.08,0.81
173,4,6.305,4.08,0.81
174,4,6.385,4.08,0.81
175,4,6.465,4.08,0.81
176,4,6.145,4.0,0.81
177,4,6.225,4.0,0.81
178,4,6.305,4.0,0.81
179,4,6.385,4.0,0.81
180,4,6.465,4.0,0.81
181,4,6.145,3.92,0.81
182,4,6.225,3.92,0.81
183,4,6.305,3.92,0.81
184,4,6.385,3.92,0.81
185,4,6.465,3.92,0.81
186,4,6.145,3.84,0.81
187,4,6.225,3.84,0.81
188,4,6.305,3.84,0.81
189,4,6.385,3.84,0.81
190,4,6.465,3.84,0.81
191,4,6.145,3.76,0.81
192,4,6.225,3.76,0.81
193,4,6.305,3.76,0.81
194,4,6.385,3.76,0.81
195,4,6.465,3.76,0.81
196,4,6.145,3.68,0.81
197,4,6.225,3.68,0.81
198,4,6.305,3.68,0.81
199,4,6.385,3.68,0.81
200,4,6.465,3.68,0.81
