Cell_ID,Shelf_ID,X,Y,Z
1,1,6.125,4.42,0.06
2,1,6.165,4.42,0.06
3,1,6.205,4.42,0.06
4,1,6.245,4.42,0.06
5,1,6.285,4.42,0.06
6,1,6.325,4.42,0.06
7,1,6.365,4.42,0.06
8,1,6.405,4.42,0.06
9,1,6.445,4.42,0.06
10,1,6.485,4.42,0.06
11,1,6.125,4.38,0.06
12,1,6.165,4.38,0.06
13,1,6.205,4.38,0.06
14,1,6.245,4.38,0.06
15,1,6.285,4.38,0.06
16,1,6.325,4.38,0.06
17,1,6.365,4.38,0.06
18,1,6.405,4.38,0.06
19,1,6.445,4.38,0.06
20,1,6.485,4.38,0.06
21,1,6.125,4.34,0.06
22,1,6.165,4.34,0.06
23,1,6.205,4.34,0.06
24,1,6.245,4.34,0.06
25,1,6.285,4.34,0.06
26,1,6.325,4.34,0.06
27,1,6.365,4.34,0.06
28,1,6.405,4.34,0.06
29,1,6.445,4.34,0.06
30,1,6.485,4.34,0.06
31,1,6.125,4.3,0.06
32,1,6.165,4.3,0.06
33,1,6.205,4.3,0.06
34,1,6.245,4.3,0.06
35,1,6.285,4.3,0.06
36,1,6.325,4.3,0.06
37,1,6.365,4.3,0.06
38,1,6.405,4.3,0.06
39,1,6.445,4.3,0.06
40,1,6.485,4.3,0.06
41,1,6.125,4.26,0.06
42,1,6.165,4.26,0.06
43,1,6.205,4.26,0.06
44,1,6.245,4.26,0.06
45,1,6.285,4.26,0.06
46,1,6.325,4.26,0.06
47,1,6.365,4.26,0.06
48,1,6.405,4.26,0.06
49,1,6.445,4.26,0.06
50,1,6.485,4.26,0.06
51,1,6.125,4.22,0.06
52,1,6.165,4.22,0.06
53,1,6.205,4.22,0.06
54,1,6.245,4.22,0.06
55,1,6.285,4.22,0.06
56,1,6.325,4.22,0.06
57,1,6.365,4.22,0.06
58,1,6.405,4.22,0.06
59,1,6.445,4.22,0.06
60,1,6.485,4.22,0.06
61,1,6.125,4.18,0.06
62,1,6.165,4.18,0.06
63,1,6.205,4.18,0.06
64,1,6.245,4.18,0.06
65,1,6.285,4.18,0.06
66,1,6.325,4.18,0.06
67,1,6.365,4.18,0.06
68,1,6.405,4.18,0.06
69,1,6.445,4.18,0.06
70,1,6.485,4.18,0.06
71,1,6.125,4.14,0.06
72,1,6.165,4.14,0.06
73,1,6.205,4.14,0.06
74,1,6.245,4.14,0.06
75,1,6.285,4.14,0.06
76,1,6.325,4.14,0.06
77,1,6.365,4.14,0.06
78,1,6.405,4.14,0.06
79,1,6.445,4.14,0.06
80,1,6.485,4.14,0.06
81,1,6.125,4.1,0.06
82,1,6.165,4.1,0.06
83,1,6.205,4.1,0.06
84,1,6.245,4.1,0.06
85,1,6.285,4.1,0.06
86,1,6.325,4.1,0.06
87,1,6.365,4.1,0.06
88,1,6.405,4.1,0.06
89,1,6.445,4.1,0.06
90,1,6.485,4.1,0.06
91,1,6.125,4.06,0.06
92,1,6.165,4.06,0.06
93,1,6.205,4.06,0.06
94,1,6.245,4.06,0.06
95,1,6.285,4.06,0.06
96,1,6.325,4.06,0.06
97,1,6.365,4.06,0.06
98,1,6.405,4.06,0.06
99,1,6.445,4.06,0.06
100,1,6.485,4.06,0.06
101,1,6.125,4.02,0.06
102,1,6.165,4.02,0.06
103,1,6.205,4.02,0.06
104,1,6.245,4.02,0.06
105,1,6.285,4.02,0.06
106,1,6.325,4.02,0.06
107,1,6.365,4.02,0.06
108,1,6.405,4.02,0.06
109,1,6.445,4.02,0.06
110,1,6.485,4.02,0.06
111,1,6.125,3.98,0.06
112,1,6.165,3.98,0.06
113,1,6.205,3.98,0.06
114,1,6.245,3.98,0.06
115,1,6.285,3.98,0.06
116,1,6.325,3.98,0.06
117,1,6.365,3.98,0.06
118,1,6.405,3.98,0.06
119,1,6.445,3.98,0.06
120,1,6.485,3.98,0.06
121,1,6.125,3.94,0.06
122,1,6.165,3.94,0.06
123,1,6.205,3.94,0.06
124,1,6.245,3.94,0.06
125,1,6.285,3.94,0.06
126,1,6.325,3.94,0.06
127,1,6.365,3.94,0.06
128,1,6.405,3.94,0.06
129,1,6.445,3.94,0.06
130,1,6.485,3.94,0.06
131,1,6.125,3.9,0.06
132,1,6.165,3.9,0.06
133,1,6.205,3.9,0.06
134,1,6.245,3.9,0.06
135,1,6.285,3.9,0.06
136,1,6.325,3.9,0.06
137,1,6.365,3.9,0.06
138,1,6.405,3.9,0.06
139,1,6.445,3.9,0.06
140,1,6.485,3.9,0.06
141,1,6.125,3.86,0.06
142,1,6.165,3.86,0.06
143,1,6.205,3.86,0.06
144,1,6.245,3.86,0.06
145,1,6.285,3.86,0.06
146,1,6.325,3.86,0.06
147,1,6.365,3.86,0.06
148,1,6.405,3.86,0.06
149,1,6.445,3.86,0.06
150,1,6.485,3.86,0.06
151,1,6.125,3.82,0.06
152,1,6.165,3.82,0.06
153,1,6.205,3.82,0.06
154,1,6.245,3.82,0.06
155,1,6.285,3.82,0.06
156,1,6.325,3.82,0.06
157,1,6.365,3.82,0.06
158,1,6.405,3.82,0.06
159,1,6.445,3.82,0.06
160,1,6.485,3.82,0.06
161,1,6.125,3.78,0.06
162,1,6.165,3.78,0.06
163,1,6.205,3.78,0.06
164,1,6.245,3.78,0.06
165,1,6.285,3.78,0.06
166,1,6.325,3.78,0.06
167,1,6.365,3.78,0.06
168,1,6.405,3.78,0.06
169,1,6.445,3.78,0.06
170,1,6.485,3.78,0.06
171,1,6.125,3.74,0.06
172,1,6.165,3.74,0.06
173,1,6.205,3.74,0.06
174,1,6.245,3.74,0.06
175,1,6.285,3.74,0.06
176,1,6.325,3.74,0.06
177,1,6.365,3.74,0.06
178,1,6.405,3.74,0.06
179,1,6.445,3.74,0.06
180,1,6.485,3.74,0.06
181,1,6.125,3.7,0.06
182,1,6.165,3.7,0.06
183,1,6.205,3.7,0.06
184,1,6.245,3.7,0.06
185,1,6.285,3.7,0.06
186,1,6.325,3.7,0.06
187,1,6.365,3.7,0.06
188,1,6.405,3.7,0.06
189,1,6.445,3.7,0.06
190,1,6.485,3.7,0.06
191,1,6.125,3.66,0.06
192,1,6.165,3.66,0.06
193,1,6.205,3.66,0.06
194,1,6.245,3.66,0.06
195,1,6.285,3.66,0.06
196,1,6.325,3.66,0.06
197,1,6.365,3.66,0.06
198,1,6.405,3.66,0.06
199,1,6.445,3.66,0.06
200,1,6.485,3.66,0.06
201,1,6.125,3.62,0.06
202,1,6.165,3.62,0.06
203,1,6.205,3.62,0.06
204,1,6.245,3.62,0.06
205,1,6.285,3.62,0.06
206,1,6.325,3.62,0.06
207,1,6.365,3.62,0.06
208,1,6.405,3.62,0.06
209,1,6.445,3.62,0.06
210,1,6.485,3.62,0.06
211,1,6.125,3.58,0.06
212,1,6.165,3.58,0.06
213,1,6.205,3.58,0.06
214,1,6.245,3.58,0.06
215,1,6.285,3.58,0.06
216,1,6.325,3.58,0.06
217,1,6.365,3.58,0.06
218,1,6.405,3.58,0.06
219,1,6.445,3.58,0.06
220,1,6.485,3.58,0.06
221,2,6.125,4.42,1.2
222,2,6.165,4.42,1.2
223,2,6.205,4.42,1.2
224,2,6.245,4.42,1.2
225,2,6.285,4.42,1.2
226,2,6.325,4.42,1.2
227,2,6.365,4.42,1.2
228,2,6.405,4.42,1.2
229,2,6.445,4.42,1.2
230,2,6.485,4.42,1.2
231,2,6.125,4.38,1.2
232,2,6.165,4.38,1.2
233,2,6.205,4.38,1.2
234,2,6.245,4.38,1.2
235,2,6.285,4.38,1.2
236,2,6.325,4.38,1.2
237,2,6.365,4.38,1.2
238,2,6.405,4.38,1.2
239,2,6.445,4.38,1.2
240,2,6.485,4.38,1.2
241,2,6.125,4.34,1.2
242,2,6.165,4.34,1.2
243,2,6.205,4.34,1.2
244,2,6.245,4.34,1.2
245,2,6.285,4.34,1.2
246,2,6.325,4.34,1.2
247,2,6.365,4.34,1.2
248,2,6.405,4.34,1.2
249,2,6.445,4.34,1.2
250,2,6.485,4.34,1.2
251,2,6.125,4.3,1.2
252,2,6.165,4.3,1.2
253,2,6.205,4.3,1.2
254,2,6.245,4.3,1.2
255,2,6.285,4.3,1.2
256,2,6.325,4.3,1.2
257,2,6.365,4.3,1.2
258,2,6.405,4.3,1.2
259,2,6.445,4.3,1.2
260,2,6.485,4.3,1.2
261,2,6.125,4.26,1.2
262,2,6.165,4.26,1.2
263,2,6.205,4.26,1.2
264,2,6.245,4.26,1.2
265,2,6.285,4.26,1.2
266,2,6.325,4.26,1.2
267,2,6.365,4.26,1.2
268,2,6.405,4.26,1.2
269,2,6.445,4.26,1.2
270,2,6.485,4.26,1.2
271,2,6.125,4.22,1.2
272,2,6.165,4.22,1.2
273,2,6.205,4.22,1.2
274,2,6.245,4.22,1.2
275,2,6.285,4.22,1.2
276,2,6.325,4.22,1.2
277,2,6.365,4.22,1.2
278,2,6.405,4.22,1.2
279,2,6.445,4.22,1.2
280,2,6.485,4.22,1.2
281,2,6.125,4.18,1.2
282,2,6.165,4.18,1.2
283,2,6.205,4.18,1.2
284,2,6.245,4.18,1.2
285,2,6.285,4.18,1.2
286,2,6.325,4.18,1.2
287,2,6.365,4.18,1.2
288,2,6.405,4.18,1.2
289,2,6.445,4.18,1.2
290,2,6.485,4.18,1.2
291,2,6.125,4.14,1.2
292,2,6.165,4.14,1.2
293,2,6.205,4.14,1.2
294,2,6.245,4.14,1.2
295,2,6.285,4.14,1.2
296,2,6.325,4.14,1.2
297,2,6.365,4.14,1.2
298,2,6.405,4.14,1.2
299,2,6.445,4.14,1.2
300,2,6.485,4.14,1.2
301,2,6.125,4.1,1.2
302,2,6.165,4.1,1.2
303,2,6.205,4.1,1.2
304,2,6.245,4.1,1.2
305,2,6.285,4.1,1.2
306,2,6.325,4.1,1.2
307,2,6.365,4.1,1.2
308,2,6.405,4.1,1.2
309,2,6.445,4.1,1.2
310,2,6.485,4.1,1.2
311,2,6.125,4.06,1.2
312,2,6.165,4.06,1.2
313,2,6.205,4.06,1.2
314,2,6.245,4.06,1.2
315,2,6.285,4.06,1.2
316,2,6.325,4.06,1.2
317,2,6.365,4.06,1.2
318,2,6.405,4.06,1.2
319,2,6.445,4.06,1.2
320,2,6.485,4.06,1.2
321,2,6.125,4.02,1.2
322,2,6.165,4.02,1.2
323,2,6.205,4.02,1.2
324,2,6.245,4.02,1.2
325,2,6.285,4.02,1.2
326,2,6.325,4.02,1.2
327,2,6.365,4.02,1.2
328,2,6.405,4.02,1.2
329,2,6.445,4.02,1.2
330,2,6.485,4.02,1.2
331,2,6.125,3.98,1.2
332,2,6.165,3.98,1.2
333,2,6.205,3.98,1.2
334,2,6.245,3.98,1.2
335,2,6.285,3.98,1.2
336,2,6.325,3.98,1.2
337,2,6.365,3.98,1.2
338,2,6.405,3.98,1.2
339,2,6.445,3.98,1.2
340,2,6.485,3.98,1.2
341,2,6.125,3.94,1.2
342,2,6.165,3.94,1.2
343,2,6.205,3.94,1.2
344,2,6.245,3.94,1.2
345,2,6.285,3.94,1.2
346,2,6.325,3.94,1.2
347,2,6.365,3.94,1.2
348,2,6.405,3.94,1.2
349,2,6.445,3.94,1.2
350,2,6.485,3.94,1.2
351,2,6.125,3.9,1.2
352,2,6.165,3.9,1.2
353,2,6.205,3.9,1.2
354,2,6.245,3.9,1.2
355,2,6.285,3.9,1.2
356,2,6.325,3.9,1.2
357,2,6.365,3.9,1.2
358,2,6.405,3.9,1.2
359,2,6.445,3.9,1.2
360,2,6.485,3.9,1.2
361,2,6.125,3.86,1.2
362,2,6.165,3.86,1.2
363,2,6.205,3.86,1.2
364,2,6.245,3.86,1.2
365,2,6.285,3.86,1.2
366,2,6.325,3.86,1.2
367,2,6.365,3.86,1.2
368,2,6.405,3.86,1.2
369,2,6.445,3.86,1.2
370,2,6.485,3.86,1.2
371,2,6.125,3.82,1.2
372,2,6.165,3.82,1.2
373,2,6.205,3.82,1.2
374,2,6.245,3.82,1.2
375,2,6.285,3.82,1.2
376,2,6.325,3.82,1.2
377,2,6.365,3.82,1.2
378,2,6.405,3.82,1.2
379,2,6.445,3.82,1.2
380,2,6.485,3.82,1.2
381,2,6.125,3.78,1.2
382,2,6.165,3.78,1.2
383,2,6.205,3.78,1.2
384,2,6.245,3.78,1.2
385,2,6.285,3.78,1.2
386,2,6.325,3.78,1.2
387,2,6.365,3.78,1.2
388,2,6.405,3.78,1.2
389,2,6.445,3.78,1.2
390,2,6.485,3.78,1.2
391,2,6.125,3.74,1.2
392,2,6.165,3.74,1.2
393,2,6.205,3.74,1.2
394,2,6.245,3.74,1.2
395,2,6.285,3.74,1.2
396,2,6.325,3.74,1.2
397,2,6.365,3.74,1.2
398,2,6.405,3.74,1.2
399,2,6.445,3.74,1.2
400,2,6.485,3.74,1.2
401,2,6.125,3.7,1.2
402,2,6.165,3.7,1.2
403,2,6.205,3.7,1.2
404,2,6.245,3.7,1.2
405,2,6.285,3.7,1.2
406,2,6.325,3.7,1.2
407,2,6.365,3.7,1.2
408,2,6.405,3.7,1.2
409,2,6.445,3.7,1.2
410,2,6.485,3.7,1.2
411,2,6.125,3.66,1.2
412,2,6.165,3.66,1.2
413,2,6.205,3.66,1.2
414,2,6.245,3.66,1.2
415,2,6.285,3.66,1.2
416,2,6.325,3.66,1.2
417,2,6.365,3.66,1.2
418,2,6.405,3.66,1.2
419,2,6.445,3.66,1.2
420,2,6.485,3.66,1.2
421,2,6.125,3.62,1.2
422,2,6.165,3.62,1.2
423,2,6.205,3.62,1.2
424,2,6.245,3.62,1.2
425,2,6.285,3.62,1.2
426,2,6.325,3.62,1.2
427,2,6.365,3.62,1.2
428,2,6.405,3.62,1.2
429,2,6.445,3.62,1.2
430,2,6.485,3.62,1.2
431,2,6.125,3.58,1.2
432,2,6.165,3.58,1.2
433,2,6.205,3.58,1.2
434,2,6.245,3.58,1.2
435,2,6.285,3.58,1.2
436,2,6.325,3.58,1.2
437,2,6.365,3.58,1.2
438,2,6.405,3.58,1.2
439,2,6.445,3.58,1.2
440,2,6.485,3.58,1.2
441,3,6.125,4.42,0.44
442,3,6.165,4.42,0.44
443,3,6.205,4.42,0.44
444,3,6.245,4.42,0.44
445,3,6.285,4.42,0.44
446,3,6.325,4.42,0.44
447,3,6.365,4.42,0.44
448,3,6.405,4.42,0.44
449,3,6.445,4.42,0.44
450,3,6.485,4.42,0.44
451,3,6.125,4.38,0.44
452,3,6.165,4.38,0.44
453,3,6.205,4.38,0.44
454,3,6.245,4.38,0.44
455,3,6.285,4.38,0.44
456,3,6.325,4.38,0.44
457,3,6.365,4.38,0.44
458,3,6.405,4.38,0.44
459,3,6.445,4.38,0.44
460,3,6.485,4.38,0.44
461,3,6.125,4.34,0.44
462,3,6.165,4.34,0.44
463,3,6.205,4.34,0.44
464,3,6.245,4.34,0.44
465,3,6.285,4.34,0.44
466,3,6.325,4.34,0.44
467,3,6.365,4.34,0.44
468,3,6.405,4.34,0.44
469,3,6.445,4.34,0.44
470,3,6.485,4.34,0.44
471,3,6.125,4.3,0.44
472,3,6.165,4.3,0.44
473,3,6.205,4.3,0.44
474,3,6.245,4.3,0.44
475,3,6.285,4.3,0.44
476,3,6.325,4.3,0.44
477,3,6.365,4.3,0.44
478,3,6.405,4.3,0.44
479,3,6.445,4.3,0.44
480,3,6.485,4.3,0.44
481,3,6.125,4.26,0.44
482,3,6.165,4.26,0.44
483,3,6.205,4.26,0.44
484,3,6.245,4.26,0.44
485,3,6.285,4.26,0.44
486,3,6.325,4.26,0.44
487,3,6.365,4.26,0.44
488,3,6.405,4.26,0.44
489,3,6.445,4.26,0.44
